pl_name,hostname,pl_letter,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_rotp,mass_class,evol_stage,host_bin,secs_pl_orbper,msol_kg,a_calc,st_mass_bin,age_bin,j_mass_bin,log10_tau_wein,t_a_wein_yr,t_a_wein_sec,Pdot_WN_ss,Pdot_WN_ms_yr,Mp_kg,Rstar_m,a_m,n_rad_s,Prot_sec,Omega_st_rad_s,adot_over_a_Q6,adot_over_a_Q7,adot_over_a_Q8,Pdot_Q6_ms_yr,Pdot_Q7_ms_yr,Pdot_Q8_ms_yr,ratio_WN_to_Q6,ratio_WN_to_Q7,ratio_WN_to_Q8,abs_Pdot_WN,abs_Pdot_Q7
TOI-4379 b,TOI-4379,b,1,1,3.25352,,1.489,1.113,0.018,,6020.00,1.976,1.372,0.1600,3.929,4.5100,,Hot,Subgiant,Hot Subgiant,281104.128,2.72891E+30,0.04775,1.5,2.5,1,8.587019324,386384169.3,1.21934E+16,-3.45808E-11,-1.091287443,2.11262E+27,1374703200,0,2.23518E-05,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
NGTS-31 b,NGTS-31,b,1,1,4.162734,0.064,1.61,1.12,0,,5710.00,1.7,0.96,0.0000,4.43,9.9700,,Solar,Main Sequence,Solar MS,359660.2176,1.90944E+30,0.04996,1,8.72,1,11.75374252,5.67208E+11,1.78997E+19,-3.01396E-14,-0.000951133,2.12591E+27,1182690000,9574263725,1.74698E-05,0,0,-2.51748E-18,-2.51748E-19,-2.51748E-20,-0.042860108,-0.004286011,-0.000428601,0.022191562,0.221915623,2.219156228,0.000951133,0.004286011
WTS-2 b,WTS-2,b,1,1,1.0187068,0.01855,1.363,1.12,0,K2 V,5000.00,0.752,0.82,0.2000,4.6,0.6000,,Cool,Main Sequence,Cool MS,88016.26752,1.63098E+30,0.01855,0.8,1.07,1,10.10504187,12736258536,4.01926E+17,-3.2848E-13,-0.010366027,2.12591E+27,523166400,2775040501,7.13866E-05,0,0,-9.97189E-17,-9.97189E-18,-9.97189E-19,-0.415466048,-0.041546605,-0.00415466,0.024950359,0.249503592,2.495035917,0.010366027,0.041546605
HD 189733 b,HD 189733,b,2,1,2.21857567,0.03126,1.13,1.13,0,K2 V,5052.00,0.75,0.79,-0.0200,4.49,1.4000,11.95,Cool,Main Sequence,Cool MS,191684.9379,1.57131E+30,0.03078,0.8,1.07,1,14.22887611,1.69385E+14,5.3454E+21,-5.37897E-17,-1.69747E-06,2.14489E+27,521775000,4676429438,3.27787E-05,1032480,6.08553E-06,-2.83531E-18,-2.83531E-19,-2.83531E-20,-0.025726638,-0.002572664,-0.000257266,6.59812E-05,0.000659812,0.006598118,1.69747E-06,0.002572664
TOI-1855 b,TOI-1855,b,1,1,1.36414864,0.02398,1.65,1.133,0.033,,5359.00,1.041,0.987,0.3990,4.397,8.2000,,Solar,Main Sequence,Solar MS,117862.4425,1.96314E+30,0.02397,1,8.72,1,8.639541331,436055060.6,1.37609E+16,-1.28476E-11,-0.405438853,2.15058E+27,724223700,3587356939,5.33095E-05,0,0,-8.81275E-17,-8.81275E-18,-8.81275E-19,-0.491679664,-0.049167966,-0.004916797,0.824599598,8.245995985,82.45995985,0.405438853,0.049167966
TOI-4153 b,TOI-4153,b,1,1,4.6174141,0.06311,1.438,1.15,0.039,,6860.00,1.605,1.572,0.3170,4.224,0.4000,,Hot,Main Sequence,,398944.5782,3.12671E+30,0.06310,1.5,2.03,1,13.78115024,6.04158E+13,1.90658E+21,-3.1387E-16,-9.90498E-06,2.18285E+27,1116598500,9441121620,1.57495E-05,0,0,-1.14494E-18,-1.14494E-19,-1.14494E-20,-0.021621774,-0.002162177,-0.000216218,0.000458102,0.004581021,0.045810209,9.90498E-06,0.002162177
WASP-19 b,WASP-19,b,1,1,0.78883852,0.01652,1.415,1.154,0.0126,G8 V,5616.00,1.006,0.965,0.0400,4.417,6.4000,10.5,Solar,Main Sequence,Solar MS,68155.64813,1.91939E+30,0.01651,1,8.72,1,7.110624382,12901029.91,4.07126E+14,-2.5111E-10,-7.924442694,2.19044E+27,699874200,2471356824,9.21888E-05,907200,6.92591E-06,-7.97562E-16,-7.97562E-17,-7.97562E-18,-2.5731304,-0.25731304,-0.025731304,3.079689507,30.79689507,307.9689507,7.924442694,0.25731304
TOI-2969 b,TOI-2969,b,1,1,1.8237146,0.0261,1.1,1.16,0,K3 V,4738.00,0.7,0.71,0.0800,4.56,,26.8,Cool,Main Sequence,Cool MS,157568.9414,1.41219E+30,0.02606,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-133 b,WASP-133,b,1,1,2.176423,0.0345,1.21,1.16,0.17,G4,5700.00,1.44,1.16,0.2900,4.18,6.8000,,Hot,Main Sequence,,188042.9472,2.30724E+30,0.03454,1.2,6,1,7.270248114,18631512.56,5.87966E+14,-4.79729E-10,-15.13910478,2.20183E+27,1001808000,5161126539,3.34136E-05,0,0,-3.95391E-17,-3.95391E-18,-3.95391E-19,-0.351948177,-0.035194818,-0.003519482,43.01515327,430.1515327,4301.515327,15.13910478,0.035194818
HAT-P-37 b,HAT-P-37,b,1,1,2.797436,0.0379,1.178,1.169,0.058,,5500.00,0.877,0.929,0.0300,4.52,3.6000,,Solar,Main Sequence,Solar MS,241698.4704,1.84778E+30,0.03791,1,4.6,1,11.12923797,1.3466E+11,4.24954E+18,-8.53146E-14,-0.002692323,2.21891E+27,610128900,5669759300,2.5996E-05,0,0,-2.02718E-18,-2.02718E-19,-2.02718E-20,-0.023193295,-0.002319329,-0.000231933,0.116081962,1.160819619,11.60819619,0.002692323,0.002319329
